Week,Day,Description,Section,Section Type,Activity,Sets,Reps
1,1,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,,8,Knees-To-Chest,3,40466
,,,,8,Planks,3,20 sec/35 sec/20 sec
,,,,8,Burpees,3,38876
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,,8,Knees-To-Chest,3,40466
,,,,8,Burpees,3,38876
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 mins - 2 SETS | 6 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,6
,,,,8,Bicycle-Crunches,2,6
,,,PFT Training,13,Ammo-Can-Sprint,3,45 sec/30 sec/20 sec
,,,,5,Push-Ups,3,25/20/15
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 4 SETS | 3 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,4,3
,,,,8,Pull-Ups,4,3
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
2,1,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,,8,Burpees,3,38876
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,,5,Push-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,2,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,,8,Burpees,3,38876
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,3,"Cardio Circuit - 30 min - 2 SETS | 7 REPS, PFT Training",Warm Up,1,Warm-up,1,1
,,,Cardio Circuit,8,Plyometric-Jumps,2,7
,,,,8,Push-Ups,2,7
,,,PFT Training,13,Ammo-Can-Sprint,3,45 sec/30 sec/20 sec
,,,,6,Crunches,3,45 sec/30 sec/20 sec
,,,,4,Pull-Ups,3,37349
,,,,5,Push-Ups,3,25/20/15
,,,Cool Down,2,Cool-down,1,1
,4,"Strength Circuit - 4 SETS | 4 REPS, Cardio - 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Strength Circuit,8,Goblet-Squat,4,4
,,,,8,Pull-Ups,4,4
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1
,5,"Body Weight Circuit - 3 SETS | 1-15 REPS, Cardio - Run 30 min, PFT Training",Warm Up,1,Warm-up,1,1
,,,Body weight circuit,8,Push-Ups,3,39672
,,,,8,Burpees,3,38876
,,,Cardio,9,Cardio,1,1
,,,PFT Training,4,Pull-Ups,3,-1
,,,Cool Down,2,Cool-down,1,1